Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,20.88,20.12,21.2,20.69,1688814010,4200,18.625,3979,98700,5299,13769,739
01-11-2022,20.79,20.7,21.64,21.23,1465170622,4200,18.6291,4055,98280,5276,13710,736
02-11-2022,20.86,20.72,21.36,21,1226411014,4200,18.6316,4072,98616,5293,13757,738
03-11-2022,20.58,20.35,20.95,20.67,900085289,4200,18.6307,4105,97272,5221,13569,728
04-11-2022,20.97,20.47,21.25,20.87,1659478728,4200,18.6271,4217,99120,5321,13827,742
07-11-2022,21.86,21.24,22.18,21.68,1794420604,4200,18.6168,4332,103320,5550,14413,774
08-11-2022,21.96,21.52,22.71,22.23,2051983705,4200,18.6138,4360,103824,5578,14483,778
09-11-2022,21.56,21.43,22.32,21.85,1388314249,4200,18.6126,4361,101892,5474,14214,764
10-11-2022,22.18,21.52,22.57,22,1695544509,4200,18.6127,4467,104832,5632,14624,786
11-11-2022,21.72,21.56,22.94,22.35,1505696778,4200,18.5448,4456,102648,5535,14319,772
14-11-2022,21.86,21.57,22.09,21.83,1191317764,4200,18.6153,4570,103320,5550,14413,774
15-11-2022,23.12,21.61,23.12,22.25,2791087556,4200,18.6199,4657,109284,5869,15245,819
16-11-2022,23.44,22.84,25.02,24.16,4326212407,4200,18.6251,4669,110796,5949,15456,830
17-11-2022,21.95,21.91,23.65,22.7,2092990677,4200,18.6294,4507,103740,5569,14472,777
18-11-2022,22.55,21.98,23,22.58,1722820013,4200,18.628,4527,106596,5722,14870,798
21-11-2022,23.24,22.09,23.55,22.69,1713584651,4200,18.6314,4570,109872,5897,15327,823
22-11-2022,23.81,23.17,24.1,23.66,1781224661,4200,18.6369,4781,112560,6040,15702,843
23-11-2022,24.56,23.58,24.83,24.22,2182967619,4200,18.6397,4854,116088,6228,16194,869
24-11-2022,24.08,23.83,25.13,24.53,2260081215,4200,18.638,4858,113820,6107,15878,852
25-11-2022,23.44,23.42,23.94,23.63,1767414436,4200,18.6406,4874,110796,5944,15456,829
28-11-2022,24.01,23.56,24.51,24.07,2188795035,4200,18.6404,4923,113484,6088,15831,849
29-11-2022,23.81,23.49,24.35,23.84,2014376059,4200,18.6475,4962,112560,6036,15702,842
30-11-2022,23.69,23.67,24.24,23.9,1487842363,4200,18.653,4978,111972,6003,15620,837
