Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,3.37,3.18,3.37,3.29,2344074241,10000,18.625,3979,93200,5004,31269,1679
01-11-2022,3.4,3.28,3.49,3.4,2714736618,10000,18.6291,4055,93800,5035,31357,1683
02-11-2022,3.25,3.25,3.39,3.31,2782666828,10000,18.6316,4072,89700,4814,29987,1609
03-11-2022,3.15,3.12,3.3,3.21,2658687090,10000,18.6307,4105,87000,4670,29084,1561
04-11-2022,3.24,3.14,3.26,3.21,2941430175,10000,18.6271,4217,89500,4805,29920,1606
07-11-2022,3.35,3.28,3.39,3.35,3015732179,10000,18.6168,4332,92500,4969,30923,1661
08-11-2022,3.28,3.27,3.4,3.35,3379602535,10000,18.6138,4360,90600,4867,30287,1627
09-11-2022,3.28,3.24,3.37,3.31,2659275038,10000,18.6126,4361,90600,4868,30287,1627
10-11-2022,3.4,3.29,3.43,3.36,2702655610,10000,18.6127,4467,94000,5050,31424,1688
11-11-2022,3.32,3.3,3.51,3.41,2550968472,10000,18.5448,4456,91800,4950,30689,1655
14-11-2022,3.35,3.31,3.37,3.34,2301567819,10000,18.6153,4570,92600,4974,30956,1663
15-11-2022,3.52,3.29,3.52,3.41,5009265144,10000,18.6199,4657,97300,5226,32527,1747
16-11-2022,3.59,3.48,3.79,3.69,7172158446,10000,18.6251,4669,99200,5326,33162,1781
17-11-2022,3.37,3.37,3.62,3.48,3189682063,10000,18.6294,4507,93000,4992,31090,1669
18-11-2022,3.46,3.4,3.54,3.47,2795503168,10000,18.628,4527,95500,5127,31926,1714
21-11-2022,3.53,3.4,3.53,3.46,2708248746,10000,18.6314,4570,97500,5233,32594,1749
22-11-2022,3.66,3.52,3.69,3.61,3735615136,10000,18.6369,4781,101200,5430,33831,1815
23-11-2022,3.86,3.63,3.9,3.76,4504402121,10000,18.6397,4854,106600,5719,35636,1912
24-11-2022,3.82,3.79,3.98,3.88,4129549435,10000,18.638,4858,105500,5660,35269,1892
25-11-2022,3.71,3.69,3.8,3.73,3605418122,10000,18.6406,4874,102500,5499,34266,1838
28-11-2022,3.74,3.71,3.85,3.79,4477981727,10000,18.6404,4923,103300,5542,34647,1859
29-11-2022,3.73,3.69,3.8,3.74,3273771550,10000,18.6475,4962,102900,5518,34513,1851
30-11-2022,3.75,3.72,3.83,3.77,3691292617,10000,18.653,4978,103600,5554,34747,1863
01-12-2022,3.93,3.8,3.95,3.87,4288059060,10000,18.6458,5046,108600,5824,36424,1953
02-12-2022,3.78,3.76,3.93,3.83,2717957873,10000,18.6438,4963,104400,5600,35016,1878
05-12-2022,3.68,3.68,3.82,3.73,3296116709,10000,18.6465,4958,101500,5443,34043,1826
06-12-2022,3.7,3.67,3.78,3.73,2617526962,10000,18.6479,5000,102100,5475,34244,1836
07-12-2022,3.58,3.53,3.77,3.7,2879831609,10000,18.6501,4827,98900,5303,33171,1779
08-12-2022,3.64,3.48,3.66,3.59,2811482810,10000,18.6538,4856,100500,5388,33708,1807
09-12-2022,3.83,3.62,3.84,3.71,2464046659,10000,18.6544,5005,105700,5666,35452,1900
12-12-2022,4.03,3.77,4.13,4,4452420616,10000,18.6534,5193,111300,5967,37330,2001
13-12-2022,4.06,3.99,4.16,4.07,3304240042,10000,18.6581,5256,112100,6008,37598,2015
14-12-2022,4.04,3.93,4.28,4.17,5029569899,10000,18.6602,5067,111700,5986,37464,2008
15-12-2022,4.4,4.11,4.44,4.3,5713319338,10000,18.6589,5189,121500,6512,40751,2184
16-12-2022,4.5,4.42,4.63,4.52,4669607647,10000,18.6603,5214,124300,6661,41690,2234
19-12-2022,4.95,4.55,4.95,4.84,7362909847,10000,18.6647,5392,136700,7324,45849,2456
20-12-2022,4.69,4.54,4.94,4.69,6403362856,10000,18.6717,5419,129600,6941,43144,2311
21-12-2022,4.62,4.61,4.89,4.73,5127893339,10000,18.6768,5429,127600,6832,42478,2274
22-12-2022,4.66,4.61,4.79,4.71,3629245604,10000,18.6858,5447,128700,6888,42844,2293
23-12-2022,4.71,4.58,4.79,4.72,3434955153,10000,18.6928,5455,130100,6960,43310,2317
26-12-2022,4.7,4.69,4.83,4.76,2560338133,10000,18.6986,5504,129800,6942,43210,2311
27-12-2022,4.7,4.66,4.81,4.74,3780743097,10000,18.715,5435,129900,6941,43244,2311
28-12-2022,4.55,4.46,4.7,4.62,3094046702,10000,18.7301,5346,125600,6706,41812,2232
29-12-2022,4.68,4.56,4.73,4.66,2246016322,10000,18.7303,5477,129200,6898,43011,2296
30-12-2022,4.62,4.62,4.78,4.7,3307885736,10000,18.732,5509,127700,6817,42511,2269
02-01-2023,4.73,4.65,4.79,4.73,2960899021,10000,18.7366,5661,130600,6970,43424,2318
03-01-2023,4.59,4.57,4.76,4.66,2843398256,10000,18.7442,5627,126700,6759,42280,2256
04-01-2023,4.54,4.46,4.72,4.62,3484685911,10000,18.7531,5523,125300,6682,41812,2230
05-01-2023,4.11,4.11,4.6,4.43,2607406001,10000,18.7725,5116,113500,6046,37875,2018
06-01-2023,4.37,3.98,4.46,4.27,3039651011,10000,18.7836,5342,120700,6426,40277,2144
09-01-2023,4.2,4.14,4.46,4.28,2294443007,10000,18.7876,5171,115900,6169,38676,2059
10-01-2023,4.05,4.02,4.27,4.17,1947539636,10000,18.7893,4988,111800,5950,37308,1986
11-01-2023,3.79,3.78,4.14,3.98,2079063289,10000,18.7919,4729,104800,5577,34972,1861
12-01-2023,3.93,3.64,3.96,3.85,1919021178,10000,18.7946,4971,108600,5778,36240,1928
13-01-2023,3.91,3.82,4.01,3.92,1680849249,10000,18.793,4985,108000,5747,36039,1918
16-01-2023,4.11,3.97,4.11,4.03,2050702739,10000,18.8019,5208,113400,6031,37841,2013
17-01-2023,4.13,4.08,4.23,4.15,2316529393,10000,18.8029,5315,114100,6068,38075,2025
18-01-2023,4.12,4.03,4.24,4.15,2580368567,10000,18.8039,5384,113800,6052,37975,2020
19-01-2023,4.21,4.11,4.31,4.22,2512274686,10000,18.808,5422,116200,6178,38776,2062
20-01-2023,4.45,4.21,4.5,4.39,3006366376,10000,18.811,5490,122900,6533,41012,2180
23-01-2023,4.43,4.35,4.67,4.55,2714314365,10000,18.8183,5404,122300,6499,40811,2169
24-01-2023,4.36,4.28,4.47,4.37,2653868016,10000,18.8073,5367,120300,6396,40144,2134
25-01-2023,4.2,4.1,4.41,4.24,2328494914,10000,18.8188,5298,116100,6169,38742,2059
26-01-2023,4.07,4.05,4.21,4.11,2373505279,10000,18.8191,5231,112300,5967,37474,1991
27-01-2023,3.94,3.78,4.05,3.93,2067431931,10000,18.8191,5192,108900,5787,36340,1931
30-01-2023,3.89,3.87,4.03,3.96,1770046101,10000,18.8215,5096,107500,5712,35873,1906
31-01-2023,3.94,3.82,4.05,3.94,2248847723,10000,18.8216,4977,108800,5781,36317,1930
01-02-2023,3.61,3.61,3.99,3.83,1987800624,10000,18.8235,4713,99700,5297,33280,1768
02-02-2023,3.54,3.38,3.73,3.57,2585379347,10000,18.8252,4752,97700,5190,32612,1732
03-02-2023,3.83,3.53,3.85,3.69,2260300476,10000,18.8287,4998,105700,5614,35283,1874
06-02-2023,3.73,3.58,3.83,3.73,352785593,10000,18.843,4930,103100,5472,34415,1826
07-02-2023,3.45,3.38,3.77,3.55,757792873,10000,18.8426,4505,95200,5052,31778,1686
15-02-2023,3.79,3.64,3.79,3.76,287199732,10000,18.8621,4950,104700,5551,34949,1853
16-02-2023,4,3.9,4.14,4.03,1372542060,10000,18.8659,5009,110500,5857,36885,1955
17-02-2023,3.95,3.92,4.07,4,953208460,10000,18.87,5027,109200,5787,36451,1932
20-02-2023,3.99,3.94,4.08,4.02,800652274,10000,18.8777,5149,110200,5838,36785,1949
21-02-2023,3.87,3.85,4.04,3.96,1051730347,10000,18.8803,5149,107000,5667,35834,1898
22-02-2023,3.95,3.85,4.01,3.95,936943445,10000,18.8846,5071,109200,5782,36571,1937
23-02-2023,3.99,3.93,4.12,4.02,1455584332,10000,18.8887,5086,110200,5834,36906,1954
24-02-2023,3.91,3.89,4.03,3.95,723277627,10000,18.8906,5059,108100,5722,36203,1916
27-02-2023,4.21,3.86,4.22,4.02,1980832671,10000,18.8972,5197,116200,6149,38915,2059
28-02-2023,4.11,4.08,4.29,4.18,1860299758,10000,18.8986,5237,113600,6011,38045,2013
01-03-2023,4.21,4.12,4.29,4.2,1572560293,10000,18.8991,5323,116400,6159,38982,2063
