Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,52.36,50.72,52.6,51.86,1233598907,2536,18.625,3979,140996,7570,37152,1995
01-11-2022,53.07,52.46,54.48,53.51,1717005437,2536,18.6291,4055,142898,7671,37654,2021
02-11-2022,53.4,52.65,53.87,53.33,1169546900,2536,18.6316,4072,143785,7717,37887,2034
03-11-2022,54.2,53.21,55.05,54,1977287266,2536,18.6307,4105,145941,7833,38455,2064
04-11-2022,56.37,54.11,56.84,55.28,2714125663,2536,18.6271,4217,151773,8148,39992,2147
07-11-2022,59.29,57.12,59.99,58.72,3079309925,2536,18.6168,4332,159635,8575,42064,2259
08-11-2022,59.95,59.05,61.36,60.47,2756773341,2536,18.6138,4360,161410,8672,42532,2285
09-11-2022,58.72,58.39,61.22,59.95,2042599025,2536,18.6126,4361,158113,8495,41663,2238
10-11-2022,60.28,58.16,60.75,59.39,1422916189,2536,18.6127,4467,162297,8720,42765,2298
11-11-2022,58.67,58.44,61.83,59.55,2152549447,2536,18.5448,4456,157986,8519,41629,2245
14-11-2022,59.52,58.16,59.71,59.18,1677444320,2536,18.6153,4570,160269,8610,42231,2269
15-11-2022,60.18,58.53,60.93,60.07,2319246537,2536,18.6199,4657,162044,8703,42699,2293
16-11-2022,59.8,59.62,62.91,61.27,3022691013,2536,18.6251,4669,161030,8646,42431,2278
17-11-2022,57.73,56.93,59.99,58.66,2116586171,2536,18.6294,4507,155451,8344,40961,2199
18-11-2022,59.29,57.87,60.6,59.45,1580140379,2536,18.628,4527,159635,8570,42064,2258
21-11-2022,61.97,59.14,61.97,60.43,1783473587,2536,18.6314,4570,166862,8956,43968,2360
22-11-2022,64.23,61.88,64.47,63.34,1986275651,2536,18.6369,4781,172948,9280,45572,2445
23-11-2022,64.37,62.72,64.94,63.55,2244259078,2536,18.6397,4854,173329,9299,45672,2450
24-11-2022,64.61,63.67,65.88,64.73,2371374435,2536,18.638,4858,173963,9334,45839,2459
25-11-2022,66.3,63.81,66.96,65.79,2459565575,2536,18.6406,4874,178527,9577,47042,2524
28-11-2022,66.82,66.68,67.72,67.11,1839896627,2536,18.6404,4923,179922,9652,47481,2547
29-11-2022,66.68,64.98,67.34,66.43,1621950205,2536,18.6475,4962,179542,9628,47381,2541
30-11-2022,66.49,65.93,67.1,66.58,2239808361,2536,18.653,4978,179034,9598,47247,2533
01-12-2022,67.2,65.97,67.95,67.17,2482776622,2536,18.6458,5046,180936,9704,47749,2561
02-12-2022,64.84,63.9,67.01,65.4,2164757033,2536,18.6438,4963,174597,9365,46076,2471
05-12-2022,64.47,63.71,65.6,64.65,1518632046,2536,18.6465,4958,173582,9309,45808,2457
06-12-2022,64.61,64.18,65.97,65.17,1640815568,2536,18.6479,5000,173963,9329,45909,2462
07-12-2022,62.77,61.41,64.89,63.58,1509857934,2536,18.6501,4827,169018,9063,44604,2392
08-12-2022,64,61.22,64,62.72,1785901310,2536,18.6538,4856,172314,9237,45474,2438
09-12-2022,64.65,63.29,64.89,64.05,1406566981,2536,18.6544,5005,174089,9332,45942,2463
12-12-2022,65.93,65.03,67.06,66.12,2866352079,2536,18.6534,5193,177513,9516,46846,2511
13-12-2022,67.24,65.17,67.57,66.29,2900458717,2536,18.6581,5256,181063,9704,47783,2561
14-12-2022,66.02,65.55,68.8,67.06,3296172751,2536,18.6602,5067,177766,9527,46913,2514
15-12-2022,66.87,65.5,68.94,67.32,2944364876,2536,18.6589,5189,180049,9649,47515,2546
16-12-2022,68,66.96,69.22,68.35,3002227942,2536,18.6603,5214,183092,9812,48318,2589
19-12-2022,70.96,69.08,71.62,70.51,2577849113,2536,18.6647,5392,191080,10238,50426,2702
20-12-2022,71.2,69.41,71.86,70.4,2301582508,2536,18.6717,5419,191714,10268,50555,2708
21-12-2022,71.91,71.2,72.8,72.05,2141479064,2536,18.6768,5429,193616,10367,51056,2734
22-12-2022,72.47,71.44,73.7,72.52,1846143635,2536,18.6858,5447,195137,10443,51458,2754
23-12-2022,72.42,71.25,72.75,72.05,1332744567,2536,18.6928,5455,195011,10432,51424,2751
26-12-2022,73.46,72.85,74.12,73.46,1239503402,2536,18.6986,5504,197800,10578,52160,2790
27-12-2022,73.27,72.66,75.34,73.77,1710287999,2536,18.715,5435,197293,10542,52026,2780
28-12-2022,74.87,71.11,77.13,74.25,3994268759,2536,18.7301,5346,201604,10764,53163,2838
29-12-2022,77.13,74.26,77.13,75.5,2741649262,2536,18.7303,5477,207690,11088,54768,2924
30-12-2022,78.83,77.51,80.43,79.03,2684766736,2536,18.732,5509,212255,11331,55972,2988
02-01-2023,79.58,79.06,80.38,79.55,1960541003,2536,18.7366,5661,214283,11437,56549,3018
03-01-2023,78.5,77.89,80.29,79.12,2385031765,2536,18.7442,5627,211367,11276,55780,2976
04-01-2023,78.31,77.04,80.15,79.12,2922073134,2536,18.7531,5523,210860,11244,55646,2967
05-01-2023,72.38,72.38,78.73,76.08,2304939295,2536,18.7725,5116,194884,10381,51430,2740
06-01-2023,74.78,70.31,77.13,73.91,2633118796,2536,18.7836,5342,201350,10719,53136,2829
