Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,65.51,64.24,66.66,65.23,957648655,102,18.625,3979,32756,1759,11858,637
01-11-2022,67.19,66.09,67.44,66.82,829223420,102,18.6291,4055,33595,1803,12161,653
02-11-2022,65.7,65.62,67.33,66.44,617146402,102,18.6316,4072,32848,1763,11891,638
03-11-2022,71.71,66.15,72.26,68.71,1521573417,102,18.6307,4105,35856,1925,12980,697
04-11-2022,71.41,70.3,72.69,71.46,1484147049,102,18.6271,4217,35703,1917,12924,694
07-11-2022,73.51,71.79,73.82,72.81,1126578969,102,18.6168,4332,36756,1974,13306,715
08-11-2022,77.75,73.06,79.67,77.05,1864194244,102,18.6138,4360,38874,2088,14072,756
09-11-2022,80.59,77.4,81.66,79.69,1760922943,102,18.6126,4361,40296,2165,14587,784
10-11-2022,79.04,78.4,80.96,79.46,1808732766,102,18.6127,4467,39518,2123,14306,769
11-11-2022,77.83,77.52,80.96,79.37,1745622360,102,18.5448,4456,38915,2098,14087,760
14-11-2022,76.81,74.92,77.75,76.22,1441993192,102,18.6153,4570,38403,2063,13902,747
15-11-2022,77.75,77.44,80.02,78.66,1393596688,102,18.6199,4657,38874,2088,14072,756
16-11-2022,75.19,74.88,78.59,76.76,1087623150,102,18.6251,4669,37595,2019,13609,731
17-11-2022,75.84,71.45,78.28,76.08,963659189,102,18.6294,4507,37923,2036,13728,737
18-11-2022,70.85,68.3,75.58,71.35,4662139814,102,18.628,4527,35426,1902,12824,688
21-11-2022,69.6,68.85,72.63,70.33,2115273456,102,18.6314,4570,34802,1868,12598,676
22-11-2022,70.69,68.75,70.75,69.92,3186450484,102,18.6369,4781,35345,1896,12795,687
23-11-2022,74.99,72.53,75.46,74.18,3497275314,102,18.6397,4854,37493,2011,13572,728
24-11-2022,75.87,75.17,77.26,76.48,1687337446,102,18.638,4858,37933,2035,13732,737
25-11-2022,77.91,74.37,78.16,75.71,1699411482,102,18.6406,4874,38956,2090,14102,757
28-11-2022,77.3,76.95,79.3,78.64,1856650723,102,18.6404,4923,38649,2073,16503,885
29-11-2022,79.38,77.03,79.38,78.49,1891671240,102,18.6475,4962,39692,2129,16949,909
30-11-2022,80.2,78.89,81.41,80.22,1703427333,102,18.653,4978,40101,2150,17123,918
01-12-2022,83.48,80.94,84.25,82.43,2479404595,102,18.6458,5046,41738,2238,17822,956
02-12-2022,84.6,82.86,85.34,84.11,1976340063,102,18.6438,4963,42301,2269,18062,969
05-12-2022,88.37,82.47,91.46,87.37,3166163164,102,18.6465,4958,44183,2370,18866,1012
06-12-2022,86.55,85.48,88.76,86.99,1447231295,102,18.6479,5000,43273,2321,18477,991
07-12-2022,85.69,83.27,89.27,87.09,1747190686,102,18.6501,4827,42843,2297,18294,981
08-12-2022,85.32,84.11,87.14,85.51,1431022488,102,18.6538,4856,42659,2287,18215,976
09-12-2022,90.02,84.93,90.02,87.08,1437138138,102,18.6544,5005,45012,2413,19220,1030
12-12-2022,97.27,90.43,98.39,94.04,1944018949,102,18.6534,5193,48633,2607,20766,1113
13-12-2022,96.57,96.45,100.83,97.82,2084782842,102,18.6581,5256,48285,2588,20618,1105
14-12-2022,96.16,94.12,99.44,97.63,1967094477,102,18.6602,5067,48081,2577,20531,1100
15-12-2022,95.2,93.4,99.35,96.31,1969375095,102,18.6589,5189,47600,2551,20325,1089
16-12-2022,94.83,93.5,96.69,95.14,1254168856,102,18.6603,5214,47416,2541,20247,1085
19-12-2022,99.41,96.12,99.99,98.15,1869434326,102,18.6647,5392,49707,2663,21225,1137
20-12-2022,104.18,99.62,105.33,103.09,2778621272,102,18.6717,5419,52091,2790,22243,1191
21-12-2022,103.73,102.91,105.96,104.24,1681377544,102,18.6768,5429,51866,2777,22147,1186
22-12-2022,101.69,100.5,105.57,103.29,1653576390,102,18.6858,5447,50843,2721,21710,1162
23-12-2022,101.95,101.03,102.95,101.94,1064280886,102,18.6928,5455,50976,2727,21767,1164
26-12-2022,103.02,102.42,104.08,103.19,833840586,102,18.6986,5504,51508,2755,21994,1176
27-12-2022,103.18,101.93,105.08,103.51,1385251710,102,18.715,5435,51590,2757,22029,1177
28-12-2022,99.44,97.8,103.38,99.79,1785978532,102,18.7301,5346,49718,2654,21229,1133
29-12-2022,98.33,96.78,99.93,98.28,1695090941,102,18.7303,5477,49165,2625,20994,1121
30-12-2022,98.21,97.9,100.79,99.04,1642014474,102,18.732,5509,49104,2621,20967,1119
02-01-2023,103.1,98.82,103.18,101.02,1599070664,102,18.7366,5661,51549,2751,22011,1175
03-01-2023,100.81,100.77,104.06,101.99,1983651024,102,18.7442,5627,50403,2689,21522,1148
04-01-2023,98.88,98.62,102.2,100.58,1634009873,102,18.7531,5523,49441,2636,21111,1126
05-01-2023,93.09,92.27,100.97,98.6,2127608036,102,18.7725,5116,46546,2479,19875,1059
06-01-2023,97.88,90,99.05,95.59,1868216815,102,18.7836,5342,48940,2605,20897,1113
09-01-2023,95.9,94.44,100.25,98.03,1569745185,102,18.7876,5171,47948,2552,20474,1090
10-01-2023,93.05,91.58,96.1,94.24,1318409463,102,18.7893,4988,46526,2476,19867,1057
11-01-2023,87.57,87.57,95.88,91.53,1569422910,102,18.7919,4729,43784,2330,18696,995
12-01-2023,91.95,85.93,92.48,90.16,1874996911,102,18.7946,4971,45973,2446,19631,1044
13-01-2023,95.59,91.09,97.59,95.24,1721098952,102,18.793,4985,47794,2543,20408,1086
16-01-2023,100.68,95.06,101.05,98.48,1551645015,102,18.8019,5208,50342,2677,21496,1143
17-01-2023,103,99.54,103.24,101.45,1572782823,102,18.8029,5315,51498,2739,21990,1169
18-01-2023,105.57,103.26,106.39,104.79,1952054951,102,18.8039,5384,52787,2807,22540,1199
19-01-2023,107.82,104.65,108.93,107.05,2337457746,102,18.808,5422,53912,2866,23020,1224
