Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,31.03,28.96,31.03,30.04,1758186922,2040,18.625,3979,68435,3674,33896,1820
01-11-2022,30.9,30.74,31.89,31.31,1304426361,2040,18.6291,4055,68149,3658,33789,1814
02-11-2022,30.85,30.65,31.55,31.17,1243822039,2040,18.6316,4072,68027,3651,33728,1810
03-11-2022,31.13,30.44,31.29,30.97,1412500398,2040,18.6307,4105,68639,3684,34031,1827
04-11-2022,31.66,30.96,31.79,31.37,2519058890,2040,18.6271,4217,69823,3748,34618,1858
07-11-2022,33.94,31.92,34.42,33.27,3003542600,2040,18.6168,4332,74842,4020,37107,1993
08-11-2022,33.85,33.35,34.59,34.21,2692536988,2040,18.6138,4360,74638,4010,37006,1988
09-11-2022,33.05,32.96,34.46,33.82,1428111415,2040,18.6126,4361,72883,3916,36136,1941
10-11-2022,34.14,32.72,34.31,33.43,1897958179,2040,18.6127,4467,75291,4045,37329,2006
11-11-2022,33.5,33.31,34.98,33.88,1802781395,2040,18.5448,4456,73863,3983,36621,1975
14-11-2022,34.05,33.33,34.37,34.04,1345822628,2040,18.6153,4570,75087,4034,37228,2000
15-11-2022,34.42,33.53,34.72,34.25,2062290809,2040,18.6199,4657,75903,4076,37633,2021
16-11-2022,34,33.96,35.96,34.86,2709532254,2040,18.6251,4669,74964,4025,37167,1996
17-11-2022,32.88,32.31,34.01,33.28,1689577130,2040,18.6294,4507,72516,3893,35953,1930
18-11-2022,33.68,33.09,34.2,33.67,1663870623,2040,18.628,4527,74271,3987,36823,1977
21-11-2022,35.62,33.81,35.62,34.55,1782618600,2040,18.6314,4570,78556,4216,38948,2090
22-11-2022,36.73,35.61,36.92,36.21,2213705968,2040,18.6369,4781,81004,4346,40162,2155
23-11-2022,37.09,35.9,37.14,36.41,2700687123,2040,18.6397,4854,81779,4387,40546,2175
24-11-2022,36.6,36.23,37.66,36.99,3420588396,2040,18.638,4858,80718,4331,40020,2147
25-11-2022,37.2,36.1,37.49,36.84,3481683715,2040,18.6406,4874,82024,4400,40668,2182
28-11-2022,37.81,37.42,38.29,37.91,2335638790,2040,18.6404,4923,83371,4473,41352,2218
29-11-2022,37.55,36.9,38.05,37.45,1877331683,2040,18.6475,4962,82800,4440,41069,2202
30-11-2022,38.81,37.33,38.81,38.02,2019465495,2040,18.653,4978,85575,4588,42445,2276
01-12-2022,38.45,38.12,39.31,38.69,2061102540,2040,18.6458,5046,84799,4548,42060,2256
02-12-2022,36.99,36.62,38.51,37.31,3101693578,2040,18.6438,4963,81575,4375,40461,2170
05-12-2022,37.34,36.84,37.88,37.4,2226874109,2040,18.6465,4958,82351,4416,40846,2191
06-12-2022,37.38,37.1,37.99,37.56,2188590068,2040,18.6479,5000,82432,4420,40886,2193
07-12-2022,36.51,36.09,37.66,37.1,2054269946,2040,18.6501,4827,80514,4317,39935,2141
08-12-2022,36.99,35.98,37.27,36.8,2367340603,2040,18.6538,4856,81575,4373,40461,2169
09-12-2022,37.1,36.64,37.27,36.99,2527557546,2040,18.6544,5005,81820,4386,40583,2176
12-12-2022,37.75,37.01,38.18,37.75,8632745823,2040,18.6534,5193,83248,4463,41291,2214
13-12-2022,37.79,37.22,38.1,37.65,4432714857,2040,18.6581,5256,83330,4466,41332,2215
