Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,101.3,96.8,101.5,98.94,6452211849,1380,18.625,3979,139794,7506,70470,3784
01-11-2022,102.4,101.1,104.8,102.84,6407381966,1380,18.6291,4055,141312,7586,71235,3824
02-11-2022,100.8,100.4,102.8,101.49,6046134117,1380,18.6316,4072,139104,7466,70122,3764
03-11-2022,101.8,101,104.5,102.6,10681513421,1380,18.6307,4105,140484,7540,70818,3801
04-11-2022,104.2,101.8,106.4,104.62,11765115520,1380,18.6271,4217,143796,7720,72488,3892
07-11-2022,107.2,102.8,107.6,104.96,11387530070,1380,18.6168,4332,147936,7946,74575,4006
08-11-2022,113,105.6,115.5,111.7,13413483178,1380,18.6138,4360,155940,8378,78609,4223
09-11-2022,111.2,111,116.2,113.24,10102115230,1380,18.6126,4361,153456,8245,77357,4156
10-11-2022,113.4,110.9,114.3,112.69,8221987236,1380,18.6127,4467,156492,8408,78888,4238
11-11-2022,111.5,111.1,115.6,113.51,9143633629,1380,18.5448,4456,153870,8297,77566,4183
14-11-2022,109.7,107.5,111.7,109.95,8996284014,1380,18.6153,4570,151386,8132,76314,4100
15-11-2022,109,107.9,113.1,110.52,9787977910,1380,18.6199,4657,150420,8078,75827,4072
16-11-2022,104.6,104.1,109.6,106.53,10584460184,1380,18.6251,4669,144348,7750,72766,3907
17-11-2022,107,101.4,108.9,106.64,12411455682,1380,18.6294,4507,147660,7926,74435,3996
18-11-2022,106.6,105.7,109.4,107.41,7724043503,1380,18.628,4527,147108,7897,74157,3981
21-11-2022,106.9,104.4,107.8,106.11,6604263512,1380,18.6314,4570,147522,7918,74366,3991
22-11-2022,111.2,107.2,111.2,108.76,10175313650,1380,18.6369,4781,153456,8234,77357,4151
23-11-2022,112.5,110.9,113.5,112.37,9264862371,1380,18.6397,4854,155250,8329,78262,4199
24-11-2022,111.6,111.3,114.5,112.89,9756812275,1380,18.638,4858,154008,8263,77635,4165
25-11-2022,113.8,110.5,114,112.1,9462969354,1380,18.6406,4874,157044,8425,79166,4247
28-11-2022,115.1,113.8,117.5,115.57,9966236634,1380,18.6404,4923,158838,8521,80070,4296
29-11-2022,120.5,113.4,121,117.1,12505041823,1380,18.6475,4962,166290,8918,83827,4495
30-11-2022,120,118.7,121.1,119.9,6812385062,1380,18.653,4978,165600,8878,83479,4475
01-12-2022,124.4,122.3,126.1,124.49,9113075868,1380,18.6458,5046,171672,9207,86540,4641
02-12-2022,128.3,123.7,129.2,126.9,9899539117,1380,18.6438,4963,177054,9497,89253,4787
05-12-2022,138.6,127.2,141,133.37,14530361131,1380,18.6465,4958,191268,10258,96418,5171
06-12-2022,135.6,133.4,140,136.88,9349278315,1380,18.6479,5000,187128,10035,94331,5059
07-12-2022,134.7,130.3,139.3,136.39,10679323637,1380,18.6501,4827,185886,9967,93705,5024
08-12-2022,135.8,132.7,138,135.61,9586996575,1380,18.6538,4856,187404,10046,94470,5064
09-12-2022,141,135.4,142.3,139.37,9465868320,1380,18.6544,5005,194580,10431,98088,5258
12-12-2022,145,141.8,146.5,143.69,12502455028,1380,18.6534,5193,200100,10727,100870,5408
13-12-2022,144,143.6,146.6,144.88,8430869524,1380,18.6581,5256,198720,10651,100175,5369
14-12-2022,137,137,145.2,142.23,9120950855,1380,18.6602,5067,189060,10132,95305,5107
15-12-2022,140.1,137,143.2,140.28,8208647484,1380,18.6589,5189,193338,10362,97462,5223
16-12-2022,139.3,138.6,142.2,140.26,7068350765,1380,18.6603,5214,192234,10302,96905,5193
19-12-2022,143.3,140.3,144.2,142.83,7226233080,1380,18.6647,5392,197754,10595,99688,5341
20-12-2022,145.9,144,148,145.96,10762159297,1380,18.6717,5419,201342,10783,101496,5436
21-12-2022,142.9,142.9,146.8,144.65,7320225991,1380,18.6768,5429,197202,10559,99410,5323
22-12-2022,142.1,141.1,145.4,143.67,6825310097,1380,18.6858,5447,196098,10494,98853,5290
23-12-2022,141.8,140.8,143.3,142.1,5402916803,1380,18.6928,5455,195684,10468,98644,5277
26-12-2022,145,142.8,145.3,144.24,6301883747,1380,18.6986,5504,200100,10701,100870,5395
