Tarih,Kapanış (TL),Min (TL),Max (TL),AOF (TL),Hacim (TL),Sermaye (mn TL),USDTRY,BIST 100,Piyasa Değeri (mn TL),Piyasa Değeri (mn USD),Halka Açık PD (mn TL),Halka Açık PD (mn USD)
31-10-2022,89.92,86.11,92.05,89.16,106750356,220,18.625,3979,26972,1448,3973,213
01-11-2022,93.15,89.19,94.32,91.91,97271452,220,18.6291,4055,27940,1500,4116,221
02-11-2022,89.63,89.34,93.81,91.14,72675752,220,18.6316,4072,26884,1443,3960,213
03-11-2022,89.12,88.82,90.95,89.78,56875846,220,18.6307,4105,26730,1435,3937,211
04-11-2022,90.88,88.02,90.95,89.63,66046379,220,18.6271,4217,27258,1463,4015,216
07-11-2022,89.85,89.85,91.68,90.7,64618086,220,18.6168,4332,26950,1448,3970,213
08-11-2022,89.04,87.87,90.95,89.24,66662038,220,18.6138,4360,26708,1435,3934,211
09-11-2022,92.34,87.36,92.34,89.74,212950629,220,18.6126,4361,27698,1488,4080,219
10-11-2022,101.51,95.57,101.51,99.6,379543928,220,18.6127,4467,30448,1636,4485,241
11-11-2022,106.72,100.92,109.65,106.62,355836254,220,18.5448,4456,32010,1726,4715,254
14-11-2022,117.35,107.39,117.35,114.09,296941707,220,18.6153,4570,34210,1838,5039,271
15-11-2022,110.41,108.75,123.77,114.19,534054492,220,18.6199,4657,32186,1729,4741,255
16-11-2022,106.18,105.66,112.45,109.04,339533195,220,18.6251,4669,30954,1662,4560,245
17-11-2022,104.22,100.98,108.37,105.4,254767754,220,18.6294,4507,30382,1631,4475,240
18-11-2022,106.86,103.24,108.98,105.93,287689748,220,18.628,4527,31152,1672,4589,246
21-11-2022,111.77,107.32,113.35,110.06,252125576,220,18.6314,4570,32582,1749,4799,258
22-11-2022,115.32,112.45,116.3,115.29,191819729,220,18.6369,4781,33616,1804,4952,266
23-11-2022,114.71,111.84,123.69,116.64,1802023303,220,18.6397,4854,33440,1794,4926,264
24-11-2022,114.56,112.67,117.58,115.26,331796259,220,18.638,4858,33396,1792,4919,264
25-11-2022,113.88,113.2,116.15,114.77,179571529,220,18.6406,4874,33198,1781,4890,262
28-11-2022,115.62,114.11,118.41,115.39,283520401,220,18.6404,4923,33704,1808,4965,266
29-11-2022,116.67,113.2,117.28,115.93,241955334,220,18.6475,4962,34012,1824,5010,269
30-11-2022,118.03,115.47,118.48,117.17,377479040,220,18.653,4978,34408,1845,5068,272
01-12-2022,117.65,116.6,120.75,118.61,378483958,220,18.6458,5046,34298,1839,5052,271
02-12-2022,118.18,115.32,118.71,117.62,291097069,220,18.6438,4963,34452,1848,5075,272
05-12-2022,118.11,116.52,121.35,118.71,576296657,220,18.6465,4958,34430,1846,5072,272
06-12-2022,119.24,117.65,121.05,119.47,458043342,220,18.6479,5000,34760,1864,5120,275
07-12-2022,113.13,113.05,120.22,116.04,388413188,220,18.6501,4827,32978,1768,4858,260
08-12-2022,111.47,109.81,113.73,111.25,274631354,220,18.6538,4856,32494,1742,4786,257
09-12-2022,112.45,110.94,114.03,112.53,248407136,220,18.6544,5005,32780,1757,4828,259
12-12-2022,115.09,112.82,117.5,115.51,399117098,220,18.6534,5193,33550,1799,4942,265
13-12-2022,125.05,116.15,126.56,122.65,2644106700,220,18.6581,5256,36454,1954,5370,288
14-12-2022,116.37,114.71,124.98,119.89,502056570,220,18.6602,5067,33924,1818,4997,268
15-12-2022,117.35,115.01,119.99,116.73,435727753,220,18.6589,5189,34210,1833,5039,270
16-12-2022,120.67,115.16,120.9,118.3,363529002,220,18.6603,5214,35178,1885,5182,278
19-12-2022,124.97,120.82,124.98,122.65,364867417,220,18.6647,5392,36432,1952,5366,288
